HOLE:	U1513E
EXPEDITION:	369
TOP:	497.7244
BOTTOM:	582.3572
DEPTH_WMSF	HROM	HLEF	HBDC	HDEB
m	g/cm3	barns/e-	g/cm3	g/cm3
508.9258	2.278888	7.38317	0.05715789	2.264692
508.9512	2.275074	7.264637	0.05744844	2.257843
508.9766	2.266328	7.35142	0.05629475	2.240971
509.0020	2.249789	7.482392	0.05152027	2.212298
509.0274	2.203627	8.112845	0.04061738	2.17486
509.0528	2.141394	9.263666	0.02815905	2.134745
509.0782	2.073171	10.83567	0.0165761	2.096719
509.1036	2.016021	11.87848	0.00971953	2.055299
509.1290	1.978057	12.18897	0.007284497	2.014442
509.1544	1.958298	11.73832	0.006116956	1.980492
509.1798	1.955611	10.7271	0.006562345	1.956211
509.2052	1.953557	9.917911	0.00723584	1.943674
509.2306	1.94653	10.90351	0.008147369	1.938061
509.2560	1.943877	15.45281	0.009114339	1.935341
509.2814	1.952177	25.8818	0.01114176	1.93957
509.3068	1.965034	33.67004	0.01604444	1.950449
509.3322	1.980205	28.84889	0.02235756	1.967187
509.3576	1.992209	20.56667	0.02610679	1.987501
509.3830	1.999081	16.70373	0.026141	1.993581
509.4084	1.991154	16.018	0.02328297	1.997296
509.4338	1.968107	16.11921	0.01745915	2.009622
509.4592	1.953846	16.22141	0.01270382	2.018541
509.4846	1.964214	17.09617	0.01571379	2.019197
509.5100	1.985666	19.02482	0.02167244	2.010432
509.5354	1.989258	20.05113	0.02140723	1.998686
509.5608	1.977868	19.1878	0.01570662	1.99299
509.5862	1.972607	17.6887	0.01048953	1.979875
509.6116	1.975253	17.62042	0.0102724	1.952343
509.6370	1.972466	18.40753	0.008875884	1.934085
509.6624	1.955924	18.00497	0.004264165	1.933499
509.6878	1.948403	16.80846	0.003119815	1.934469
509.7132	1.954096	16.33061	0.004429481	1.936873
509.7386	1.964409	18.49914	0.005878936	1.954316
509.7640	1.968127	20.59647	0.006142681	1.973451
509.7894	1.965888	21.95129	0.005274747	1.984921
509.8148	1.96842	23.02895	0.004691593	1.987246
509.8402	1.974932	22.99666	0.00462145	1.97744
509.8656	1.97657	21.47012	0.003626137	1.97266
509.8910	1.96165	20.47764	-0.0000539	1.969865
