HOLE:	U1513E
EXPEDITION:	369
TOP:	424.6313
BOTTOM:	580.7651
DEPTH_WMSF	HROM	HLEF	HBDC	HDEB
m	g/cm3	barns/e-	g/cm3	g/cm3
437.8393	1.851152	9.807866	0.0108166	1.855662
437.8647	1.852468	10.46363	0.009714391	1.856069
437.8901	1.859603	11.22274	0.008601434	1.855767
437.9155	1.862465	11.42704	0.009449056	1.855957
437.9409	1.859475	10.3736	0.01054528	1.856679
437.9663	1.853074	9.620975	0.01166924	1.857535
437.9917	1.853187	9.704678	0.01295386	1.858052
438.0171	1.856213	10.55554	0.01356612	1.85936
438.0425	1.858938	11.51332	0.0142656	1.861495
438.0679	1.863828	12.18631	0.01632468	1.862722
438.0933	1.871982	12.3522	0.01995587	1.860141
438.1187	1.873365	12.21576	0.02166522	1.850196
438.1441	1.860328	12.11099	0.01961677	1.836886
438.1695	1.839654	12.4525	0.01513424	1.825017
438.1949	1.826803	12.73856	0.009528273	1.819708
