HOLE:	U1352B
EXPEDITION:	317
TOP:	102.0048
BOTTOM:	465.4788
DEPTH_WMSF	LCAL
m	in
291.2856	18.7956
291.4380	18.8075
291.5904	18.7608
291.7428	18.7687
291.8952	17.5474
292.0476	17.3549
292.2000	16.5399
292.3524	18.3299
292.5048	18.8048
292.6572	18.7418
292.8096	18.8214
292.9620	18.8527
293.1144	18.8796
293.2668	18.8052
293.4192	18.7715
293.5716	18.3584
293.7240	18.3945
293.8764	18.6939
294.0288	18.8337
294.1812	18.5359
294.3336	17.1719
294.4860	14.1974
294.6384	14.8639
294.7908	14.8156
294.9432	14.8481
295.0956	14.8516
295.2480	14.8544
295.4004	14.8572
295.5528	14.8627
295.7052	14.8797
295.8576	15.0207
296.0100	15.2037
296.1624	15.6021
296.3148	16.0104
296.4672	16.0361
296.6196	15.7415
296.7720	15.6021
296.9244	15.5946
297.0768	16.1597
297.2292	16.3264
297.3816	16.0361
297.5340	15.4449
297.6864	14.4045
297.8388	14.1586
297.9912	14.2057
298.1436	14.3158
298.2960	14.2584
298.4484	13.9134
298.6008	13.7511
298.7532	13.7677
298.9056	13.7835
299.0580	13.7677
299.2104	13.7483
299.3628	15.1372
299.5152	17.0658
299.6676	15.6722
299.8200	15.1926
299.9724	15.0825
300.1248	14.7380
300.2772	14.8386
300.4296	14.9126
300.5820	14.9273
300.7344	14.8544
300.8868	14.6908
301.0392	14.4235
301.1916	14.3748
301.3440	14.2968
301.4964	14.1392
301.6488	14.1194
301.8012	15.0013
301.9536	15.0374
302.1060	14.3031
302.2584	14.2861
302.4108	14.2841
302.5632	14.2113
302.7156	14.0338
302.8680	13.8093
303.0204	13.8841
303.1728	14.1099
303.3252	14.1808
303.4776	14.4172
303.6300	14.6243
303.7824	14.6188
303.9348	14.6041
304.0872	14.3582
304.2396	14.7625
304.3920	14.2279
304.5444	14.4615
304.6968	14.1392
304.8492	14.5079
305.0016	15.6560
305.1540	15.6971
305.3064	15.0235
305.4588	16.3340
305.6112	18.7964
305.7636	18.5327
305.9160	18.3612
306.0684	18.7770
306.2208	18.8115
306.3732	18.8075
306.5256	18.8115
306.6780	18.8103
306.8304	18.8214
306.9828	18.8052
307.1352	18.8103
307.2876	18.8083
307.4400	18.8158
307.5924	18.8020
307.7448	18.8147
307.8972	18.4555
308.0496	17.1070
308.2020	15.8718
308.3544	16.1312
308.5068	18.7410
308.6592	18.8491
308.8116	17.5030
308.9640	16.7423
309.1164	15.2663
