HOLE:	U1351B
EXPEDITION:	317
TOP:	87.5656
BOTTOM:	1011.8716
DEPTH_WMSF	APLC	STOF	SIGF	AFEC	ANEC
m	%	in	cu	cps	cps
143.4964	43.3258	0.4053	28.1722	547.0000	2664.5715
143.6488	48.8136	0.3254	28.7921	535.0000	2681.0000
143.8012	56.2974	0.3515	30.6683	566.0000	2626.5000
143.9536	63.7994	0.2762	31.0185	498.8571	2528.5000
144.1060	64.9900	0.3615	32.2472	453.5000	2605.0000
144.2584	61.1002	0.6871	31.7064	499.5000	2610.5000
144.4108	64.7392	0.6561	33.1912	498.0000	2557.0000
144.5632	66.3528	0.6238	34.5232	454.5000	2508.0000
144.7156	69.5170	0.4234	34.2306	437.5000	2505.5000
144.8680	72.6056	0.1994	34.0600	452.0000	2534.0000
145.0204	70.6815	0.3371	34.5265	460.5714	2520.0000
145.1728	67.0342	0.4514	35.2375	498.0000	2515.5000
145.3252	62.2171	0.5344	34.1593	483.5000	2412.5715
145.4776	58.8413	0.8818	34.6819	471.0000	2560.5000
145.6300	57.9875	0.8431	33.6919	458.0000	2584.5000
145.7824	58.8820	0.7730	32.9835	468.5000	2543.0000
145.9348	54.6755	1.0487	30.4343	477.7143	2606.0000
146.0872	61.5916	0.6835	32.8365	450.0000	2558.0000
146.2396	69.9256	0.2624	32.7661	476.0000	2437.0000
146.3920	76.0235	-0.0780	32.0929	437.0000	2508.0000
146.5444	73.5964	0.1277	32.8242	445.0000	2567.4285
146.6968	74.4412	0.0587	32.4083	463.0000	2463.0000
146.8492	72.2207	0.2539	31.8285	459.0000	2480.5000
147.0016	71.2293	0.3109	30.4584	452.5000	2489.0000
147.1540	72.5446	0.2073	31.8271	452.5714	2609.5000
147.3064	79.3750	-0.3416	31.6719	471.0000	2503.0000
147.4588	81.8484	-0.5600	32.8273	446.0000	2458.5000
147.6112	61.8989	-0.3515	32.9983	442.0000	2555.4285
147.7636	46.7234	0.3456	32.6993	479.5000	2668.0000
147.9160	41.3166	0.3977	31.9462	499.0000	2643.5000
148.0684	46.8532	0.1111	31.3412	530.8571	2487.5000
148.2208	48.4438	0.0335	30.3630	527.0000	2533.0000
148.3732	43.0468	0.0725	30.0673	548.0000	2680.5000
148.5256	37.8963	0.0861	28.8192	546.0000	2799.4285
148.6780	36.5425	0.0113	26.7535	595.5000	2815.5000
148.8304	34.9569	-0.0187	25.4648	600.5000	2713.5000
148.9828	35.6146	-0.0436	24.5805	610.0000	2790.5000
149.1352	36.0830	-0.1340	23.6742	622.2857	2740.5000
149.2876	36.8127	-0.2655	23.3109	612.0000	2837.0000
149.4400	34.6942	-0.2346	22.9456	585.0000	2893.7144
149.5924	34.4817	-0.2285	22.5945	658.5000	2862.5000
149.7448	33.6580	-0.2130	22.1826	599.5000	2894.0000
149.8972	34.1528	-0.1316	21.7656	614.8571	2916.5000
150.0496	33.1376	0.0676	21.3280	605.5000	2793.0000
150.2020	31.3288	0.2915	21.3321	548.5000	2817.5000
150.3544	32.0473	0.4542	21.7207	546.5000	2721.5000
150.5068	34.3408	0.6195	22.6168	562.5000	2709.0000
150.6592	42.4232	0.5802	24.3387	529.0000	2627.4285
150.8116	48.7800	0.4971	28.0190	522.0000	2594.0000
150.9640	56.6758	0.4597	30.0534	484.5000	2573.5000
151.1164	56.9132	0.3587	31.6840	502.2857	2577.5000
151.2688	58.2943	0.2529	32.1756	478.0000	2497.5000
151.4212	56.9564	0.6432	32.3876	455.0000	2567.0000
151.5736	61.2008	0.4089	32.2798	490.5000	2542.2856
151.7260	63.6262	0.0176	33.8528	501.5000	2571.5000
151.8784	61.0656	0.6234	34.8341	497.5000	2508.0000
152.0308	55.4890	1.0354	33.9781	524.0000	2621.0000
152.1832	50.5279	1.1121	34.1106	501.0000	2592.0000
152.3356	58.5380	0.9786	34.7859	453.5000	2536.0000
152.4880	58.7442	0.9807	34.8303	499.0000	2565.5000
152.6404	61.4811	0.8660	34.8705	474.0000	2620.5000
152.7928	65.8074	0.6532	35.9870	464.5000	2584.0000
152.9452	65.9717	0.6408	36.8165	487.0000	2580.5000
153.0976	65.2830	0.6828	35.3678	500.5000	2596.5000
